t,x,y
4.3287105560,0.4783350527,0.9996317625
4.3387241364,0.5035240054,0.9995165467
4.3487377167,0.5273846388,0.9994301796
4.3587512970,0.5499361753,0.9993823767
4.3687648773,0.5712059736,0.9993774295
4.3787784576,0.5912261605,0.9994148612
4.3887920380,0.6100335717,0.9994894862
4.3988056183,0.6276682019,0.9995924830
4.4088191986,0.6441728473,0.9997111559
4.4188327789,0.6595913172,0.9998297095
4.4288463593,0.6739689708,0.9999299049
4.4388599396,0.6873506904,0.9999910593
4.4488735199,0.6997811794,0.9999907017
4.4588871002,0.7113046050,0.9999050498
4.4689006805,0.7219640017,0.9997091889
4.4789142609,0.7318005562,0.9993775487
4.4889278412,0.7408542037,0.9988840818
4.4989414215,0.7491628528,0.9982013106
4.5089550018,0.7567633986,0.9973040223
4.5189685822,0.7636881471,0.9961650372
4.5289821625,0.7699695826,0.9947574735
4.5389957428,0.7756378651,0.9930534363
4.5490093231,0.7807208896,0.9910277724
4.5590229034,0.7852444053,0.9886538982
4.5690364838,0.7892322540,0.9859045148
4.5790500641,0.7927069068,0.9827540517
4.5890636444,0.7956884503,0.9791755080
4.5990772247,0.7981958985,0.9751421213
4.6090908051,0.8002463579,0.9706280231
4.6191043854,0.8018562198,0.9656072259
4.6291179657,0.8030388355,0.9600484371
4.6391315460,0.8038082719,0.9539260864
4.6491451263,0.8041765094,0.9472134709
4.6591587067,0.8041552305,0.9398760796
4.6691722870,0.8037546873,0.9318875670
4.6791858673,0.8029851317,0.9232189059
4.6891994476,0.8018561006,0.9138393402
4.6992130280,0.8003762960,0.9037148356
4.7092266083,0.7985549569,0.8928115964
4.7192401886,0.7964009047,0.8810951114
4.7292537689,0.7939235568,0.8685287237
4.7392673492,0.7911320329,0.8550751805
4.7492809296,0.7880364656,0.8406977654
4.7592945099,0.7846475840,0.8253594637
4.7693080902,0.7809765339,0.8090211749
4.7793216705,0.7770358324,0.7916457653
4.7893352509,0.7728396058,0.7731783986
4.7993488312,0.7684026361,0.7535828948
4.8093624115,0.7637418509,0.7328116298
4.8193759918,0.7588750124,0.7108310461
4.8293895721,0.7538230419,0.6876001954
4.8394031525,0.7486075163,0.6630501151
4.8494167328,0.7432534695,0.6371677518
4.8594303131,0.7377873659,0.6098878980
4.8694438934,0.7322380543,0.5811724663
4.8794574738,0.7266379595,0.5509799719
4.8894710541,0.7210218310,0.5192750096
4.8994846344,0.7154266834,0.4860044718
4.9094982147,0.7098920345,0.4511511624
4.9195117950,0.7044608593,0.4146724045
4.9295253754,0.6991792917,0.3765340745
4.9395389557,0.6940954328,0.3367094100
4.9495525360,0.6892609596,0.2951778471
4.9595661163,0.6847302914,0.2519188523
4.9695796967,0.6805593967,0.2069225907
4.9795932770,0.6768072248,0.1601983309
4.9896068573,0.6735350490,0.1117409021
4.9996204376,0.6708046198,0.0615703352
